"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.999580417E0,9.435329132E0,-6.017486572E-2,-3.420686646E0
3.019689417E0,9.300609283E0,-3.116519165E-1,-3.056643677E0
3.039798417E0,9.194479980E0,-2.827619934E-1,-2.883603516E0
3.059907417E0,8.985364838E0,-1.020877075E-1,-3.104843445E0
3.080017417E0,8.932824097E0,1.121168518E-1,-3.711232452E0
3.100126417E0,9.464967499E0,5.078938293E-1,-3.892206116E0
3.120235417E0,1.019649628E1,3.285667419E-1,-3.348386993E0
3.140344417E0,1.066846481E1,-3.134481812E-1,-2.571801910E0
3.160453417E0,1.028062134E1,-1.261426849E0,-3.489393768E0
3.180562417E0,1.085228256E1,-2.696193237E0,-5.131029968E0
3.200671417E0,1.182765427E1,-2.072140961E0,-6.221362610E0
3.220780417E0,1.085377945E1,-6.108796692E-1,-6.202801208E0
3.240889417E0,8.484356689E0,-2.566712494E0,-5.554199982E0
3.260998417E0,7.703430634E0,-4.072880402E0,-4.698429565E0
3.281107417E0,7.969577179E0,-4.684957581E0,-3.579356689E0
3.301217417E0,8.346493378E0,-4.133953400E0,-3.341950378E0
3.321326417E0,9.674382019E0,-3.038231964E0,-4.138144684E0
3.341435417E0,1.046174469E1,-2.236050110E0,-4.506678314E0
3.361544417E0,9.538015594E0,-1.789229279E0,-4.074676666E0
3.381653417E0,8.293353882E0,-1.170865173E0,-3.737577667E0
3.401762417E0,7.204667816E0,-8.394543457E-1,-3.422033844E0
3.421871417E0,6.584357758E0,-1.056203613E0,-2.978206787E0
3.441980417E0,6.725663910E0,-1.521286469E0,-2.371668091E0
3.462089417E0,7.315736847E0,-2.018851776E0,-1.901944885E0
3.482198417E0,8.100554810E0,-2.541265411E0,-1.734443207E0
3.502307417E0,8.671766968E0,-2.766696625E0,-1.825154572E0
3.522416417E0,9.198820953E0,-2.321372681E0,-2.214494934E0
3.542525417E0,9.700727234E0,-1.885928192E0,-2.494861908E0
3.562635417E0,9.969268799E0,-1.587897949E0,-2.481539612E0
3.582744417E0,1.009366013E1,-1.309626617E0,-2.357148285E0
3.602853958E0,1.023167313E1,-9.395960999E-1,-2.172731781E0
3.622962958E0,1.055200699E1,-5.631289673E-1,-1.844913483E0
3.643071958E0,1.095931000E1,-8.027806091E-1,-1.790426788E0
3.663180958E0,1.130673752E1,-2.039359131E0,-1.594933319E0
3.683289958E0,1.121063736E1,-2.792892151E0,-8.795709229E-1
3.703398958E0,1.073133408E1,-2.587519226E0,-8.419990540E-1
3.723507958E0,9.494456177E0,-3.315754852E0,-2.812501373E0
3.743616958E0,1.137110367E1,-4.075125732E0,-3.762575684E0
3.763725958E0,1.183424057E1,-4.312382355E0,-4.867727509E0
3.783834958E0,8.226592712E0,-3.673660583E0,-5.546865234E0
3.803944958E0,5.939199371E0,-2.763553162E0,-5.748945007E0
3.824053958E0,5.201832733E0,-1.579066315E0,-6.074817352E0
3.844162958E0,5.878874817E0,-5.403762817E-2,-6.030808868E0
3.864271958E0,7.496261444E0,2.733316040E-1,-5.754932556E0
3.884380958E0,9.251960449E0,-1.064286804E0,-5.375022583E0
3.904489958E0,1.016116974E1,-2.475402374E0,-4.502786407E0
3.924598958E0,1.046518753E1,-3.365601196E0,-3.678450623E0
3.944707958E0,9.960137787E0,-2.936293945E0,-3.290008392E0
3.964816958E0,8.891809387E0,-1.751358032E0,-3.401526489E0
3.984925958E0,7.716303864E0,-5.399272156E-1,-3.797004089E0
4.005034958E0,6.983427887E0,3.394940186E-1,-4.164938965E0
4.025143958E0,6.852300568E0,1.117575989E0,-4.254303131E0
4.045253958E0,7.066505127E0,1.658401337E0,-3.887266388E0
4.065362958E0,7.536078644E0,1.473236389E0,-3.458108826E0
4.085471958E0,8.235274658E0,8.249345398E-1,-3.284170532E0
4.105580958E0,8.878187714E0,4.586462402E-1,-3.299289093E0
4.125689958E0,9.023086395E0,2.309696960E-1,-3.233725433E0
4.145798958E0,8.919052734E0,2.381547546E-1,-3.098107452E0
4.165907958E0,8.917855225E0,5.116360474E-1,-2.879112854E0
4.186016958E0,9.007369080E0,9.862989807E-1,-3.107986908E0
4.206125958E0,9.244925079E0,1.458566895E0,-3.658392334E0
4.226234958E0,9.846973114E0,1.759141846E0,-3.989653473E0
4.246343958E0,1.055679703E1,1.596280518E0,-3.699556732E0
4.266452958E0,1.118025055E1,1.065783691E0,-3.008892975E0
4.286562958E0,1.179247742E1,7.685018921E-1,-2.229763184E0
4.306671958E0,1.188723038E1,5.685177612E-1,-1.870210876E0
