"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.662618708E0,8.169860687E0,-3.672612762E0,-1.505269775E0
3.682726708E0,8.525371399E0,-3.879931641E0,-1.592687988E0
3.702835708E0,8.677455139E0,-3.624412994E0,-1.667532349E0
3.722944708E0,8.810079346E0,-3.239263916E0,-1.854643250E0
3.743053708E0,9.102571106E0,-2.826871490E0,-1.838925934E0
3.763162708E0,9.368567963E0,-2.406395874E0,-1.578168182E0
3.783271708E0,9.505682831E0,-2.436034241E0,-1.513802032E0
3.803380708E0,9.529183960E0,-2.569556580E0,-1.455872498E0
3.823489708E0,9.458530884E0,-2.643053741E0,-1.080602875E0
3.843598708E0,9.338330841E0,-2.680176544E0,-5.622308350E-1
3.863706708E0,9.225615234E0,-2.749482422E0,-2.110610962E-1
3.883815708E0,9.187893677E0,-2.878813477E0,4.790039063E-2
3.903924708E0,9.128916321E0,-2.924618225E0,2.168989563E-1
3.924033708E0,9.065448303E0,-2.955454102E0,2.640509033E-1
3.944142708E0,9.120683441E0,-3.088826752E0,6.638694763E-1
3.964251708E0,9.074579315E0,-3.248993683E0,1.028511200E0
3.984360708E0,8.917555847E0,-3.466641083E0,1.066681824E0
4.004469708E0,8.732690277E0,-3.653302917E0,1.166973267E0
4.024578708E0,8.468339996E0,-3.850143585E0,1.338666229E0
4.044686708E0,8.008346558E0,-3.916755066E0,1.626966705E0
4.064795708E0,7.639064484E0,-3.960913239E0,2.003134460E0
4.084904708E0,8.193661194E0,-4.287983093E0,1.143921204E0
4.105013708E0,1.075034454E1,-4.998854828E0,-6.598278809E-1
4.125122708E0,1.308728485E1,-5.378764801E0,-1.852697296E0
4.145231708E0,1.089868607E1,-3.991898804E0,-3.140020294E0
4.165340708E0,9.292975159E0,-9.843530273E-1,-3.152594147E0
4.185449708E0,8.890462189E0,1.951940918E0,-2.374961243E0
4.205558708E0,9.349108429E0,3.303929443E0,-1.292262726E0
4.225666708E0,1.093116852E1,1.485959930E0,-9.782157898E-1
4.245775708E0,1.190189987E1,-1.439257050E0,-9.999206543E-1
4.265884708E0,1.169607788E1,-2.737956390E0,-1.053509216E0
4.285993708E0,1.092592941E1,-2.566413116E0,-1.168919220E0
4.306102708E0,9.793384552E0,-1.629810791E0,-1.130149841E0
4.326211708E0,8.822653198E0,-5.885760498E-1,-6.767427063E-1
4.346320708E0,8.095764771E0,2.369572449E-1,-3.162922668E-1
4.366429708E0,7.957452393E0,7.650590515E-1,-2.281256104E-1
4.386538708E0,8.143365784E0,1.023122406E0,-2.320175171E-1
4.406647708E0,8.557255096E0,7.388635254E-1,-1.830693054E-1
4.426757000E0,9.220675507E0,3.176394653E-1,1.392105103E-2
4.446866000E0,9.858648834E0,-2.378553772E-1,-6.182144165E-2
4.466975000E0,1.055290512E1,-7.095245361E-1,-1.752854919E-1
4.487084000E0,1.072145462E1,-1.044228516E0,-2.595602417E-1
4.507193000E0,1.028960266E1,-9.277706909E-1,2.380050659E-2
4.527302000E0,9.611812134E0,-1.793270874E-1,3.685336304E-1
4.547411000E0,8.761131134E0,7.277865601E-1,5.821394348E-1
4.567520000E0,8.422535248E0,1.100212097E0,8.186476135E-1
4.587629000E0,8.805588684E0,1.118174744E0,9.186396790E-1
4.607738000E0,9.272467804E0,1.007255402E0,6.882687378E-1
4.627846000E0,9.620045013E0,8.387059021E-1,3.100053406E-1
4.647955000E0,9.972112885E0,5.060975647E-1,2.649490356E-2
4.668064000E0,1.028586044E1,-6.436614990E-2,-8.876541138E-2
4.688173000E0,1.051293823E1,-6.695576477E-1,1.579216003E-1
4.708282000E0,1.066846481E1,-9.225315857E-1,6.659651184E-1
4.728391000E0,1.089853638E1,-6.271957397E-1,1.381776581E0
4.748500000E0,1.093012070E1,-1.754351807E-1,1.639091492E0
4.768609000E0,1.051563263E1,-4.146377563E-2,8.554710388E-1
4.788718000E0,1.053239777E1,-2.875520325E-1,-7.276368713E-1
4.808827000E0,1.205712708E1,-2.745291138E-1,-2.845582581E0
4.828936000E0,1.389410706E1,6.069877625E-1,-5.107528839E0
4.849044000E0,1.251382736E1,8.652008057E-2,-5.528902588E0
4.869153000E0,9.095835114E0,-2.102378082E0,-2.822380829E0
4.889262000E0,7.615114288E0,-4.624782715E0,1.639091492E-1
4.909371000E0,8.791667633E0,-4.728966064E0,3.088078308E-1
4.929480000E0,1.083716400E1,-1.973496094E0,-1.041983185E0
4.949589000E0,1.194845306E1,1.269360352E-1,-1.183738403E0
4.969698000E0,1.176718002E1,1.204844513E0,-4.691244507E-1
4.989807000E0,1.123054596E1,1.306483154E0,-3.915856934E-1
5.009916000E0,1.036070480E1,3.402424622E-1,-1.296004944E0
5.030025000E0,9.017398224E0,-1.544039154E0,-1.799707489E0
5.050134000E0,7.760312347E0,-2.600691833E0,-1.470841370E0
5.070243000E0,6.913074188E0,-3.286715240E0,-7.222480774E-1
5.090351000E0,6.454727325E0,-3.266806641E0,2.874023438E-1
5.110460000E0,6.635551300E0,-2.782413940E0,8.369096375E-1
5.130569000E0,7.133715363E0,-2.493365021E0,8.626560974E-1
5.150678000E0,7.790250092E0,-2.302511902E0,5.683680725E-1
5.170787000E0,8.523724823E0,-2.066752167E0,3.167413330E-1
5.190896000E0,8.644373932E0,-1.749262390E0,1.181044006E-1
5.211005000E0,9.038803711E0,-1.483265533E0,6.436614990E-3
5.231114000E0,9.458830261E0,-1.530567169E0,9.550140381E-2
5.251223000E0,1.021116577E1,-1.761536865E0,6.242019653E-1
5.271332000E0,1.050066376E1,-1.955683136E0,9.660910034E-1
5.291441000E0,1.036564453E1,-1.380728760E0,8.635542297E-1
5.311549000E0,1.032268387E1,-5.551954651E-1,7.691006470E-1
5.331658000E0,1.027089157E1,1.178050232E-1,1.536105652E0
5.351767000E0,1.065798660E1,6.472540283E-1,2.606080627E0
5.371876000E0,1.100406693E1,9.401948547E-1,2.774630127E0
5.391985000E0,1.085303101E1,1.068777466E0,2.513572998E0
5.412093333E0,9.279054108E0,6.580316162E-1,1.914668427E0
5.432202333E0,8.544381866E0,-1.146615601E-1,3.212319946E-1
5.452311333E0,1.008408005E1,-2.561473389E0,-2.528541870E0
5.472420333E0,1.392284729E1,-5.684878235E0,-2.699935455E0
5.492529333E0,1.258208542E1,-5.338797913E0,-4.273463287E0
5.512638333E0,8.853938141E0,-1.774410095E0,-3.896098022E0
5.532747333E0,7.594008179E0,-1.113684082E-1,-1.890867920E0
5.552856333E0,7.863747253E0,1.101708984E-1,-2.095642090E-3
5.572964333E0,9.514664154E0,-5.816903687E-1,6.176156616E-1
5.593073333E0,1.156689651E1,-1.880090332E0,2.157014465E-1
5.613182333E0,1.126617188E1,-3.583398285E0,-2.237846375E-1
5.633291333E0,9.708511047E0,-3.980223083E0,-3.769161987E-1
5.653400333E0,8.622818756E0,-3.244503021E0,-6.018983459E-1
5.673509333E0,7.932903442E0,-2.024689636E0,-6.015989685E-1
5.693618333E0,7.306605835E0,-5.809419250E-1,-5.442681885E-1
5.713727333E0,7.119944000E0,4.810995483E-1,-4.269122314E-1
5.733836333E0,7.990982666E0,9.156459045E-1,-2.472857666E-1
5.753945333E0,9.388177185E0,7.831713867E-1,-5.233117676E-1
5.774054333E0,1.003258713E1,3.564088440E-1,-8.813671875E-1
5.794163333E0,1.004306534E1,-1.056802368E-1,-9.246272278E-1
5.814272333E0,9.910441132E0,-3.077600098E-1,-2.317181396E-1
5.834381333E0,9.655221863E0,-2.969824219E-1,5.111869812E-1
5.854489333E0,9.310488739E0,-1.824705505E-1,6.402186584E-1
5.874598333E0,9.213340759E0,2.799179077E-2,3.424877930E-1
5.894707333E0,9.426048431E0,3.053649902E-1,1.459465027E-1
5.914816333E0,9.804910583E0,3.254232788E-1,-3.712280273E-2
5.934925333E0,1.032522858E1,-1.499880981E-1,-1.914518738E-1
5.955034333E0,1.087293961E1,-2.026785278E-1,1.694476318E-1
5.975143333E0,1.121003860E1,1.417552185E-1,1.090033264E0
