"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.880889833E0,1.007553577E0,-3.283032030E-2,1.831667572E-1
2.900998833E0,9.986965656E-1,2.967804968E-1,1.104883477E-1
2.921107833E0,9.190726876E-1,4.215029776E-1,-4.344506562E-2
2.941216833E0,8.946380019E-1,8.844682574E-2,-2.646892667E-1
2.961324833E0,1.019732952E0,-3.167181313E-1,-3.557172120E-1
2.981433833E0,1.232775927E0,-4.961788058E-1,-2.766402066E-1
3.001542833E0,1.462982059E0,-3.606537879E-1,-2.826160789E-1
3.021651833E0,1.663722754E0,-2.266967595E-1,-2.658505440E-1
3.041760833E0,1.755567431E0,-1.956504732E-1,-2.967181206E-1
3.061869833E0,1.750003219E0,-2.057741880E-1,-3.438780308E-1
3.081978833E0,1.735990286E0,-2.729195356E-1,-3.250946701E-1
3.102087833E0,1.723455548E0,-2.985514104E-1,-2.556456625E-1
3.122195833E0,1.745552421E0,-2.462834716E-1,-1.518458128E-1
3.142304833E0,1.747722745E0,-1.666927040E-1,-4.986580461E-2
3.162413833E0,1.731823921E0,-1.052241996E-1,3.269612323E-3
3.182522833E0,1.678164601E0,-5.340069532E-2,8.156996220E-3
3.202631833E0,1.562588215E0,-3.534672782E-2,3.239566460E-2
3.222740833E0,1.437343478E0,-5.147676915E-2,7.411117852E-2
3.242849833E0,1.359480977E0,-7.148408890E-2,1.079965085E-1
3.262958833E0,1.344570756E0,-3.164009377E-2,1.209924445E-1
3.283066833E0,1.372712016E0,-4.235869274E-3,1.128619090E-1
3.303175833E0,1.397593617E0,-6.125847250E-2,1.051969528E-1
3.323284833E0,1.507308125E0,-7.333469391E-2,9.087922424E-2
3.343393833E0,1.676472425E0,-3.535883129E-2,7.402314246E-2
3.363502833E0,1.896610141E0,-2.510088123E-2,5.895892531E-2
3.383611833E0,2.179761887E0,-7.578151673E-2,3.435340151E-2
3.403720833E0,2.426478386E0,-1.850308627E-1,-3.691192344E-2
3.423825708E0,2.538275719E0,-4.011320472E-1,-8.790305257E-2
3.443933708E0,2.559819460E0,-6.372407675E-1,-1.434554160E-1
3.464042708E0,2.538178205E0,-7.748497128E-1,-2.483714074E-1
3.484151708E0,2.369863987E0,-7.343960404E-1,-2.720861137E-1
3.504260708E0,2.124122381E0,-5.298652649E-1,-1.014000252E-1
3.524369708E0,2.077677011E0,-3.386994004E-1,1.173158512E-1
3.544478708E0,2.180488586E0,-3.336048126E-1,2.756882310E-1
3.564587708E0,2.269036531E0,-3.262350261E-1,3.087227345E-1
3.584696708E0,2.413798809E0,-1.794661880E-1,3.413877785E-1
3.604805708E0,2.590352297E0,-1.585221440E-1,3.830120564E-1
3.624913708E0,2.736622810E0,-3.048850596E-1,3.913958967E-1
3.645022708E0,2.860687971E0,-4.204095006E-1,3.776163459E-1
3.665131708E0,2.975139380E0,-3.950418234E-1,3.527284861E-1
3.685240708E0,3.055701971E0,-3.768418133E-1,3.598973155E-1
3.705349708E0,3.096855402E0,-4.806064665E-1,3.609193265E-1
3.725458708E0,3.092358828E0,-5.834456682E-1,3.155899644E-1
3.745567708E0,3.067136526E0,-6.146305799E-1,2.104195803E-1
3.765676708E0,2.992731333E0,-6.415278912E-1,1.314757466E-1
3.785784708E0,2.897296190E0,-6.222330928E-1,9.389603138E-2
3.805893708E0,2.785415888E0,-5.163934231E-1,7.324863970E-2
3.826002708E0,2.662708282E0,-4.026724696E-1,5.764450878E-2
3.846111708E0,2.552811384E0,-3.737902641E-1,2.686850727E-2
3.866220708E0,2.455397606E0,-3.887083232E-1,7.383466000E-4
3.886329708E0,2.359978199E0,-3.602543175E-1,-3.244113177E-2
3.906438708E0,2.251555920E0,-3.351360261E-1,-6.410194933E-2
3.926547708E0,2.116557121E0,-3.241671026E-1,-7.290035486E-2
3.946656708E0,1.985693216E0,-2.906690538E-1,-6.814876199E-2
3.966764708E0,1.883492827E0,-3.116143346E-1,-6.613127887E-2
3.986873708E0,1.785454392E0,-3.076996803E-1,-9.103655815E-2
4.006982708E0,1.713626027E0,-2.267102897E-1,-1.077226400E-1
4.027091708E0,1.647251606E0,-1.000170484E-1,-1.254007667E-1
4.047200708E0,1.641369104E0,-5.525581539E-2,-1.284642071E-1
