"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.662416958E0,1.268938184E-1,-2.724327445E-1,-5.249131918E-1
2.682531958E0,1.802812070E-1,-1.010066390E0,-2.197326273E-1
2.702645958E0,1.024575830E-1,-7.167251110E-1,4.556572065E-2
2.722760958E0,-5.277577788E-2,-3.652877808E-1,1.243740022E-1
2.742874958E0,-2.627097368E-1,-1.921165735E-1,1.780510545E-1
2.762989958E0,-4.921607673E-1,1.235751733E-1,1.640618145E-1
2.783103958E0,-6.597235203E-1,3.314542174E-1,7.998080552E-2
2.803218958E0,-6.689319015E-1,2.997002900E-1,3.369264887E-4
2.823332958E0,-5.277772546E-1,6.515423208E-2,8.705940098E-2
2.843447958E0,-3.407131433E-1,-1.151871458E-1,2.566536665E-1
2.863561958E0,-1.606370658E-1,-1.116250679E-1,3.611900508E-1
2.883676958E0,-5.204012245E-2,-6.526026130E-2,4.450885952E-1
2.903790958E0,7.031349465E-3,-4.123406112E-2,4.771244824E-1
2.923905958E0,1.083794683E-1,4.465534166E-2,3.846220374E-1
2.944019958E0,2.088720351E-1,1.840141416E-1,2.393672615E-1
2.964134958E0,2.898239493E-1,2.218627632E-1,1.232617348E-1
2.984248958E0,3.825097084E-1,7.050386071E-2,2.672025561E-2
3.004363958E0,4.830727279E-1,-1.287883222E-1,-4.089913890E-2
3.024477958E0,5.604713559E-1,-1.011890024E-1,-9.868447483E-2
3.044592958E0,5.511544943E-1,1.170954630E-1,-1.799118668E-1
3.064710583E0,4.536628425E-1,2.778273523E-1,-3.280436099E-1
3.084824583E0,3.855053186E-1,2.449151874E-1,-4.756059349E-1
3.104939583E0,3.816795647E-1,1.200008243E-1,-5.773071051E-1
3.125053583E0,4.099495709E-1,5.096902698E-2,-5.879618526E-1
3.145168583E0,3.766141832E-1,3.365588188E-2,-4.842402339E-1
3.165282583E0,2.857845426E-1,1.450469345E-2,-2.805455625E-1
3.185397583E0,2.011654228E-1,-3.409323841E-2,-5.384028330E-2
3.205511583E0,1.243569404E-1,-8.500381559E-2,9.107620269E-2
3.225625583E0,4.955881462E-2,-7.906108350E-2,1.068544611E-1
3.245740583E0,-8.047259413E-3,-1.916775666E-2,-1.821276173E-2
3.265854583E0,-6.426625699E-2,5.707528070E-2,-2.609602213E-1
3.285969583E0,-1.419815570E-1,2.504950762E-1,-4.729326665E-1
3.306083583E0,-1.991222203E-1,4.445477724E-1,-3.544559777E-1
3.326198583E0,-1.588556617E-1,9.999068081E-2,9.724701941E-2
3.346312583E0,-1.514072996E-2,-1.786507517E-1,4.595470130E-1
